group,feature,label,n,auc,dir,mi,d
Kinematic,Speed_ms,rule_hard_brake,1372369,0.5789542310065691,-,0.00042951323205953074,-0.24367623866734997
Kinematic,Speed_ms,rule_anomalous_stop,1372369,0.986841213103124,-,0.0047184672617075485,-1.943031481223631
Kinematic,Speed_ms,rule_path_deviation,1372369,0.5719865673485256,-,0.0019251613670258072,-0.24140332237351098
Kinematic,Speed_ms,rule_close_conflict,1372369,0.6556845925691407,-,0.00046658585441750056,-0.4941084635028898
Kinematic,Speed_ms,rule_any,1372369,0.6070610708114988,-,0.0025242402490555094,-0.3662014605206107
Kinematic,acceleration_ms2,rule_hard_brake,1278163,0.8972670043005829,-,0.03150336898426076,-1.1313032597516908
Kinematic,acceleration_ms2,rule_anomalous_stop,1278163,0.5152348592779749,-,0.0010913774431459133,-0.007651708791243567
Kinematic,acceleration_ms2,rule_path_deviation,1278163,0.5544187201933022,+,0.0002574463957785156,0.12022312570367562
Kinematic,acceleration_ms2,rule_close_conflict,1278163,0.9216257284962698,-,0.0023983645604143122,-1.1670748421074673
Kinematic,acceleration_ms2,rule_any,1278163,0.7811026063930564,-,0.024889186039824596,-0.7976218224538665
Kinematic,abs(acceleration_ms2),rule_hard_brake,1278163,0.8330488632103898,+,0.01956655121403783,0.7522927816648833
Kinematic,abs(acceleration_ms2),rule_anomalous_stop,1278163,0.7613353664828161,-,0.0009409355047073076,-0.4232627637650685
Kinematic,abs(acceleration_ms2),rule_path_deviation,1278163,0.5373864441616182,+,0.0004932466875430253,0.26858591523345066
Kinematic,abs(acceleration_ms2),rule_close_conflict,1278163,0.8514606575386743,+,0.0014790989795292475,0.7643426041731032
Kinematic,abs(acceleration_ms2),rule_any,1278163,0.7328483218885449,+,0.015759980159194553,0.5696063497431331
Kinematic,heading_change_rad,rule_hard_brake,1271655,0.5916905265348305,-,0.004772918845679985,-0.324581982566989
Kinematic,heading_change_rad,rule_anomalous_stop,1271655,0.5116626012418741,-,0.0005715821509414409,0.007098924987059484
Kinematic,heading_change_rad,rule_path_deviation,1271655,0.5142041940567861,-,0.0008332840068606684,0.0680251417716724
Kinematic,heading_change_rad,rule_close_conflict,1271655,0.5372434458652652,-,0.00021905766895535805,0.016153889978902686
Kinematic,heading_change_rad,rule_any,1271655,0.5738319969328953,-,0.005431970545489939,-0.23885409346827072
Kinematic,abs(heading_change_rad),rule_hard_brake,1271655,0.7018273537973458,+,0.004088266833998766,0.8323714062380093
Kinematic,abs(heading_change_rad),rule_anomalous_stop,1271655,0.7461661377348858,+,0.0007758927089202006,1.3669562154916155
Kinematic,abs(heading_change_rad),rule_path_deviation,1271655,0.6313834036391384,+,0.0008896026553670833,0.5757218177470371
Kinematic,abs(heading_change_rad),rule_close_conflict,1271655,0.7293203593589885,+,0.0005172952133293274,0.7975065333184909
Kinematic,abs(heading_change_rad),rule_any,1271655,0.6925761854133154,+,0.0054739164607089386,0.8129615196433229
Kinematic,yaw_rate_rads,rule_hard_brake,1227105,0.6172943453805089,-,0.006135609531327413,-0.4511776530924698
Kinematic,yaw_rate_rads,rule_anomalous_stop,1227105,0.5242545207347535,-,0.0010080328769016544,0.020692866044405574
Kinematic,yaw_rate_rads,rule_path_deviation,1227105,0.5174699069791016,-,0.0010872979004964423,0.04977516697146463
Kinematic,yaw_rate_rads,rule_close_conflict,1227105,0.6085730288356732,-,0.0,-0.25545823643552795
Kinematic,yaw_rate_rads,rule_any,1227105,0.59427414165126,-,0.007733480091627998,-0.33733438746731925
Kinematic,abs(yaw_rate_rads),rule_hard_brake,1227105,0.707685364004627,+,0.0030047484416966252,0.9674554096361486
Kinematic,abs(yaw_rate_rads),rule_anomalous_stop,1227105,0.7328318793158435,+,0.0009146117204218429,1.0891312940969105
Kinematic,abs(yaw_rate_rads),rule_path_deviation,1227105,0.6318305323721587,+,0.0015728534749599454,0.5375605671470025
Kinematic,abs(yaw_rate_rads),rule_close_conflict,1227105,0.7260213593320393,+,0.0,0.8736597468623049
